,Name,Age,Salary,Country,Bonus
100,PCOMI,38,47820,,4782.0
101,LOQWR,41,30601,,3060.1000000000004
102,KUHTZ,44,47830,,4783.0
103,YIWVB,20,31065,,3106.5
104,TYNLN,46,66685,,6668.5
105,HKVOY,36,67267,France,6726.700000000001
106,QPKYD,48,36686,France,3668.6000000000004
107,YDLGF,43,76686,France,7668.6
108,ZBBSV,21,78972,,7897.200000000001
109,FQDFC,36,48980,,4898.0
110,FVGVR,46,57170,France,5717.0
111,BWBYC,25,38240,,3824.0
112,TQTYO,43,54981,,5498.1
113,JJUNP,36,54986,,5498.6
114,WAJNB,48,60723,,6072.3
115,GHRUT,41,44549,,4454.900000000001
116,DGFDX,29,71027,France,7102.700000000001
117,TTYIN,37,30387,,3038.7000000000003
118,OIXKL,49,47383,,4738.3
119,QTNEA,54,48024,,4802.400000000001
120,PEPCK,21,35713,,3571.3
121,CSUAM,20,73782,,7378.200000000001
122,QNWJN,24,42549,France,4254.900000000001
123,YCURD,56,64139,,6413.900000000001
124,MRXBB,54,40702,,4070.2000000000003
125,SDOBH,33,67653,,6765.3
126,ALGOH,36,75739,France,7573.900000000001
127,GMKPX,49,41056,,4105.6
128,EPYWW,58,72145,France,7214.5
129,JDZCT,60,55146,,5514.6
130,EFRKY,39,53690,,5369.0
131,BVOQL,35,37333,France,3733.3
132,YRMTS,56,60480,France,6048.0
133,BZQQD,25,55250,France,5525.0
134,BFYRV,26,64142,,6414.200000000001
135,CSEUP,29,58119,,5811.900000000001
136,RBSDM,57,70759,,7075.900000000001
137,ENDZF,42,62449,,6244.900000000001
138,AJQKV,27,72164,France,7216.400000000001
139,GBHQQ,22,64529,,6452.900000000001
140,PTDWK,20,55832,,5583.200000000001
141,QRWCJ,53,71536,,7153.6
142,XVMRJ,60,42952,,4295.2
143,JOPHR,55,71085,,7108.5
144,DPAOR,51,50272,,5027.200000000001
145,ERYLM,25,33395,France,3339.5
146,UNATM,42,42060,France,4206.0
147,AZHNZ,57,41574,France,4157.400000000001
148,FUCID,37,38285,France,3828.5
149,ZOBUF,56,68902,,6890.200000000001
150,LBMXV,31,56559,,5655.900000000001
151,WTJPH,25,69467,,6946.700000000001
152,DHBDB,55,44790,,4479.0
153,PTQII,37,53679,,5367.900000000001
154,BSJVX,39,51139,,5113.900000000001
155,YCUNO,51,32943,,3294.3
156,YUXEK,25,43588,,4358.8
157,EWWGS,53,33814,France,3381.4
158,CVYDO,59,47284,,4728.400000000001
159,EHIPR,21,68077,,6807.700000000001
160,HOYEM,33,52776,France,5277.6
161,PHRPF,60,57902,,5790.200000000001
162,VRUUM,51,40803,France,4080.3
163,AAKLC,56,52784,France,5278.400000000001
164,QHHHU,46,39099,,3909.9
165,PTTLP,48,76992,,7699.200000000001
166,URKPF,48,41620,,4162.0
167,XZEVY,38,47125,France,4712.5
168,RUMOG,42,38390,France,3839.0
169,SZERQ,38,57579,,5757.900000000001
170,OXODV,50,61279,France,6127.900000000001
171,PTGJM,20,79574,,7957.400000000001
172,GCFSM,56,40148,,4014.8
173,NKNML,45,56453,,5645.3
174,MJJBW,33,46185,,4618.5
175,FCQQY,27,34054,,3405.4
176,ZKBNF,38,61939,,6193.900000000001
177,LQWTM,51,69388,,6938.8
178,SDJQU,37,59113,,5911.3
179,AZOXD,47,64429,,6442.900000000001
180,DMXMX,42,63907,France,6390.700000000001
181,OATLM,45,40333,,4033.3
182,HZEWO,37,43688,France,4368.8
183,UTHQZ,58,72216,,7221.6
184,CWVHZ,22,50163,,5016.3
185,HTNOM,31,32741,,3274.1000000000004
186,OSLYU,34,73337,France,7333.700000000001
187,ZFCYV,48,30038,,3003.8
188,JFCKX,52,56072,,5607.200000000001
189,HKYEO,24,70668,,7066.8
190,QUODN,20,76697,,7669.700000000001
191,HULLC,27,63572,,6357.200000000001
192,BYAWC,45,53648,,5364.8
193,UNFDC,60,50906,,5090.6
194,GLLRZ,54,53312,,5331.200000000001
195,VDKHB,52,53773,,5377.3
196,DACAV,60,44995,,4499.5
197,KPFSJ,51,32038,,3203.8
198,JAYPZ,37,67655,,6765.5
199,IEPCF,50,64066,,6406.6
200,LZHXX,25,60774,,6077.400000000001
201,LUOXN,25,63151,France,6315.1
202,XAGZR,21,79777,,7977.700000000001
203,FNPKS,60,74266,,7426.6
204,MPZAF,22,39799,,3979.9
205,XBCYN,55,69046,France,6904.6
206,FXWDR,20,63535,France,6353.5
207,ZZLPN,39,51220,,5122.0
208,NEZPB,55,58905,,5890.5
209,QQZJV,58,70603,,7060.3
210,MCAMM,55,47520,,4752.0
211,EWEMY,26,42260,,4226.0
212,PFXQC,46,57874,,5787.400000000001
213,FVSKJ,40,67521,,6752.1
214,WGMWL,31,74087,,7408.700000000001
215,IMYDD,30,66868,France,6686.8
216,NRYRN,44,68019,,6801.900000000001
217,ANTIC,52,31184,,3118.4
218,HLPKR,55,42775,,4277.5
219,AFAWN,25,33443,,3344.3
220,AZNOR,49,42965,France,4296.5
221,DSJPH,28,68706,,6870.6
222,JTPWP,23,62178,,6217.8
223,RRGOL,34,79220,France,7922.0
224,WFDAF,60,77054,France,7705.400000000001
225,QFTDF,27,52574,,5257.400000000001
226,JZVSL,32,32194,,3219.4
227,WTHQW,49,54500,,5450.0
228,RBTDW,55,53571,,5357.1
229,LVRGI,59,70264,France,7026.400000000001
230,WFCKB,33,58437,,5843.700000000001
231,RPOOM,46,35175,,3517.5
232,YVVJJ,44,65381,France,6538.1
233,BIPCO,40,70070,,7007.0
234,WYLFF,37,70413,France,7041.3
235,ZSSZX,31,58291,,5829.1
236,HLVAK,45,51852,,5185.200000000001
237,THRWA,54,60863,France,6086.3
238,OFXBX,31,73120,,7312.0
239,TAKDZ,27,37345,,3734.5
240,HJHRK,32,72403,France,7240.3
241,DLDRN,45,64150,France,6415.0
242,EOVRI,29,60385,,6038.5
243,PYPXE,54,52478,France,5247.8
244,OUOMZ,27,63848,France,6384.8
245,AIOWR,23,38892,France,3889.2000000000003
246,DZJAG,42,57683,,5768.3
247,MAULX,46,63453,,6345.3
248,XVTNU,26,34387,,3438.7000000000003
249,ABDSA,50,36484,,3648.4
250,ZGLZU,56,76507,France,7650.700000000001
251,CRJTH,29,48304,,4830.400000000001
252,LDSIT,56,63296,France,6329.6
253,RLHMN,32,36381,,3638.1000000000004
254,BWELM,60,50919,,5091.900000000001
255,PIFGV,38,31725,France,3172.5
256,HRMYK,27,54180,France,5418.0
257,IFEOJ,39,52394,,5239.400000000001
258,KYYSY,57,30840,,3084.0
259,DYZDE,35,51408,France,5140.8
260,GOEQK,33,56091,,5609.1
261,PRDXT,48,37363,,3736.3
262,QFPFS,55,64895,France,6489.5
263,OEGPX,59,45320,France,4532.0
264,BPPCC,26,54081,France,5408.1
265,ETRRF,42,72443,France,7244.3
266,YXDSK,51,54948,,5494.8
267,OEILN,30,34970,,3497.0
268,MLDXC,30,48718,,4871.8
269,IRYZN,45,79155,,7915.5
270,DVMWL,50,37190,France,3719.0
271,FALRZ,43,36423,,3642.3
272,LPVRV,31,56806,,5680.6
273,VMYSB,29,40753,,4075.3
274,GXDGA,30,66450,,6645.0
275,PKDUC,54,50477,France,5047.700000000001
276,MHBOK,34,45012,,4501.2
277,QWBKX,31,42368,,4236.8
278,PLNBI,39,75221,,7522.1
279,YQILK,42,55522,,5552.200000000001
280,ZGHEY,45,51067,,5106.700000000001
281,QVKAC,58,65358,,6535.8
282,VZYAQ,40,42184,,4218.400000000001
283,ZASKU,20,42409,,4240.900000000001
284,MITVX,48,32971,,3297.1000000000004
285,XVINQ,45,34328,,3432.8
286,IABGR,28,78741,,7874.1
287,LABKC,34,67283,,6728.3
288,HVPSP,31,49058,,4905.8
289,DJKXL,54,48686,,4868.6
290,DSZHT,58,31866,,3186.6000000000004
291,ZYTQO,35,68782,France,6878.200000000001
292,TOWDH,46,71918,France,7191.8
293,HBXLT,55,54853,France,5485.3
294,GXPYP,29,34608,,3460.8
295,QPGTL,42,50673,,5067.3
296,AFUKJ,32,59012,,5901.200000000001
297,SRDDX,25,72573,France,7257.3
298,JYYNV,33,56177,,5617.700000000001
299,IGCRN,31,64201,,6420.1
300,YBPWI,56,43766,,4376.6
301,XDLFW,21,78894,,7889.400000000001
302,JUPKE,49,47099,,4709.900000000001
303,SPVQH,59,73675,,7367.5
304,IYHRD,57,45542,,4554.2
305,QXBHU,60,53015,,5301.5
306,MYRAZ,48,69466,France,6946.6
307,CNOKZ,22,56303,,5630.3
308,EQGWC,28,38825,,3882.5
309,VYZFT,54,37325,France,3732.5
310,WHFYY,60,70402,,7040.200000000001
311,UPYPO,35,54556,France,5455.6
312,YONJK,57,37460,,3746.0
313,FIYNZ,35,66687,,6668.700000000001
314,IETJN,21,44709,,4470.900000000001
315,DTITI,39,66620,,6662.0
316,TXVWI,42,65911,,6591.1
317,JIFHN,43,41055,,4105.5
318,UQMHG,46,62792,,6279.200000000001
319,OTAPL,51,56099,France,5609.900000000001
320,YYJDG,51,53785,France,5378.5
321,VHOAC,43,61698,,6169.8
322,XKHRL,45,67378,,6737.8
323,PPMRG,30,35389,,3538.9
324,DUCCR,41,30753,,3075.3
325,FVLZX,26,78690,,7869.0
326,VIWBH,51,69357,,6935.700000000001
327,JEWFQ,56,61599,France,6159.900000000001
328,IAMTW,60,34504,France,3450.4
329,ERSYG,20,74944,,7494.400000000001
330,ADWCJ,38,60217,,6021.700000000001
331,KTJZN,52,42292,,4229.2
332,VSMMG,29,64146,,6414.6
333,EWHHE,30,60176,France,6017.6
334,OFJCG,37,51219,,5121.900000000001
335,ZINFZ,37,78338,,7833.8
336,TDEJW,52,41010,,4101.0
337,XUXFF,23,49121,,4912.1
338,RXDID,26,30335,,3033.5
339,PKDDE,26,59978,,5997.8
340,TCHAZ,53,66865,France,6686.5
341,SKVDW,26,70579,,7057.900000000001
342,MRWBW,33,30924,France,3092.4
343,ABENV,25,73299,,7329.900000000001
344,UGGPR,38,60355,,6035.5
345,WONRB,33,37494,France,3749.4
346,TXCEX,34,73131,,7313.1
347,TLAKQ,55,69166,France,6916.6
348,VTXOH,52,42551,,4255.1
349,QRUQS,35,73563,France,7356.3
350,MZPCO,24,77697,,7769.700000000001
351,DQLWD,24,65945,France,6594.5
352,IQSER,23,35667,,3566.7000000000003
353,EZKGX,43,35161,,3516.1000000000004
354,HTCYP,43,49199,,4919.900000000001
355,OGEKS,52,64321,,6432.1
356,PUEMK,43,37909,,3790.9
357,YFZYQ,44,75588,,7558.8
358,IEXAY,60,44841,,4484.1
359,OUGPU,46,56522,,5652.200000000001
360,NGQFG,28,78506,France,7850.6
361,ZOELS,56,49986,,4998.6
362,DCRSW,52,70837,France,7083.700000000001
363,HPOCA,26,56457,,5645.700000000001
364,EPCTJ,23,46951,France,4695.1
365,VNQCC,40,40263,France,4026.3
366,WGZLT,33,50947,,5094.700000000001
367,ZBEEJ,51,49117,,4911.7
368,VGWBB,59,77075,,7707.5
369,JHWTH,22,31346,,3134.6000000000004
370,DXVBD,58,44143,,4414.3
371,WBTIW,26,68010,,6801.0
372,IRJHH,49,33176,,3317.6000000000004
373,HGXGE,38,68264,,6826.400000000001
374,TCWRA,37,49752,,4975.200000000001
375,XNAFH,27,63522,,6352.200000000001
376,YJGUM,35,75919,,7591.900000000001
377,PNDMM,38,79383,,7938.3
378,SOFXL,57,77360,,7736.0
379,DSJOP,40,71212,,7121.200000000001
380,NAEWX,33,35370,,3537.0
381,ZWMXX,39,77472,,7747.200000000001
382,AGAHP,23,59383,,5938.3
383,BBIHX,54,66425,,6642.5
384,DWPFE,57,40812,,4081.2000000000003
385,TLPTS,45,31749,,3174.9
386,DUFXA,60,43625,,4362.5
387,ISJRB,53,64505,,6450.5
388,YYVHA,38,70014,,7001.400000000001
389,BXCFG,22,41616,,4161.6
390,ONJLL,52,70603,,7060.3
391,DKJPV,32,59119,France,5911.900000000001
392,DKUGN,43,37398,,3739.8
393,TKOYP,44,33525,,3352.5
394,ERGYC,54,42010,,4201.0
395,UJCPX,60,31833,France,3183.3
396,TWICG,44,45483,France,4548.3
397,BVEJS,22,71825,France,7182.5
398,XERHH,26,40388,France,4038.8
399,XNUVN,28,64524,France,6452.400000000001
400,EGVHF,55,64703,,6470.3
401,RDNST,60,65608,,6560.8
402,RFHKT,37,53718,France,5371.8
403,DJEMT,40,58969,France,5896.900000000001
404,VUDKK,21,54642,,5464.200000000001
405,PERPE,32,30385,,3038.5
406,HBZAQ,54,51197,France,5119.700000000001
407,DUSDO,46,38665,,3866.5
408,ZBPLM,39,44363,France,4436.3
409,OQNOG,40,48570,France,4857.0
410,XKLIZ,41,71061,,7106.1
411,DHRNE,58,58680,,5868.0
412,MWLTV,51,55173,France,5517.3
413,SYNJI,27,75453,,7545.3
414,RNEKZ,42,66757,,6675.700000000001
415,PBESD,36,32654,,3265.4
416,HZSGV,30,35097,,3509.7000000000003
417,HAMZA,54,67389,,6738.900000000001
418,GMEPZ,50,64964,,6496.400000000001
419,DFAGK,23,74016,,7401.6
420,OCASA,54,33678,,3367.8
421,UHGFH,46,67166,,6716.6
422,LQMAJ,28,31495,,3149.5
423,BCDAS,35,64092,,6409.200000000001
424,ABJXI,20,32406,,3240.6000000000004
425,BJPSQ,59,62927,France,6292.700000000001
426,ONBFW,53,34168,France,3416.8
427,WCNBI,45,51776,,5177.6
428,KEKKL,53,52095,,5209.5
429,MCWCY,50,55557,,5555.700000000001
430,QOWVT,25,74610,,7461.0
431,NXOFN,40,35114,,3511.4
432,IZVBX,53,30976,,3097.6000000000004
433,MLNHW,40,42872,,4287.2
434,GHRZY,60,37535,,3753.5
435,QVABP,21,56013,,5601.3
436,IELPA,47,79117,France,7911.700000000001
437,VYNCH,48,70369,,7036.900000000001
438,BVVZY,41,66287,,6628.700000000001
439,WXZQZ,30,36343,,3634.3
440,DDZWE,28,58837,,5883.700000000001
441,NIKUM,36,57013,France,5701.3
442,LTEQM,42,43765,France,4376.5
443,RZLNS,59,59509,France,5950.900000000001
444,RMQPE,21,42690,,4269.0
445,YPOLB,34,47547,,4754.7
446,EEMCI,31,49375,,4937.5
447,LKXTL,57,38743,,3874.3
448,USXVR,37,44751,France,4475.1
449,QLZYW,36,50488,,5048.8
450,ESMWF,21,67199,France,6719.900000000001
451,RSTEF,53,41336,,4133.6
452,DUAOR,35,55192,,5519.200000000001
453,QYVMI,27,57117,,5711.700000000001
454,VVIPO,34,63109,,6310.900000000001
455,INBJB,49,62183,,6218.3
456,RZJKJ,28,63926,,6392.6
457,UTBUS,37,32349,,3234.9
458,TJECX,47,65609,France,6560.900000000001
459,AVGKQ,52,42185,France,4218.5
460,YLKMW,29,35646,,3564.6000000000004
461,CKOMV,23,62852,,6285.200000000001
462,LJBUO,35,52911,,5291.1
463,VDQZQ,41,55371,France,5537.1
464,RORIB,48,79227,,7922.700000000001
465,MZDVK,39,46173,France,4617.3
466,KZVUV,22,45638,,4563.8
467,SAWMP,25,70082,France,7008.200000000001
468,UTFQR,24,78800,,7880.0
469,YOQJP,31,62270,,6227.0
470,NTTZR,40,75989,,7598.900000000001
471,ULSYG,31,41066,,4106.6
472,KHLGD,48,34535,,3453.5
473,LPVMA,40,76660,,7666.0
474,CXWTO,56,40313,,4031.3
475,WTPXR,49,76569,,7656.900000000001
476,PFUQD,26,34280,France,3428.0
477,KGYYS,59,40437,,4043.7000000000003
478,TPMGL,50,62857,France,6285.700000000001
479,DKDON,35,78211,,7821.1
480,DADBB,44,68696,,6869.6
481,RQLMY,25,36281,,3628.1000000000004
482,UXRPE,32,57011,France,5701.1
483,SNXNQ,23,40398,,4039.8
484,AOOVV,37,70762,,7076.200000000001
485,DIQPQ,41,63328,,6332.8
486,IOTJL,29,48684,,4868.400000000001
487,ZAKNA,47,75812,,7581.200000000001
488,CSCRL,56,55512,,5551.200000000001
489,TTVHK,36,62680,,6268.0
490,EWFHV,42,75980,France,7598.0
491,GWSNH,22,30280,France,3028.0
492,OKBKW,39,38509,France,3850.9
493,SNXZA,40,70904,,7090.400000000001
494,HCUDE,48,51664,,5166.400000000001
495,XKYEI,39,32285,,3228.5
496,GFFWW,43,51945,France,5194.5
497,SJUOL,24,51581,France,5158.1
498,MIANI,29,41595,France,4159.5
499,RETJH,45,54612,France,5461.200000000001
500,HSTCV,28,64288,,6428.8
501,ISXQA,51,64177,,6417.700000000001
502,VCOXE,56,73346,,7334.6
503,EESNR,41,59466,,5946.6
504,PEPCR,39,46319,France,4631.900000000001
505,RJHNB,60,41905,,4190.5
506,SEDFB,52,51542,,5154.200000000001
507,GZBXL,35,36882,France,3688.2000000000003
508,DYUPD,56,46693,,4669.3
509,FILYT,51,54908,France,5490.8
510,GHNII,29,36204,,3620.4
511,CJQKI,31,30799,France,3079.9
512,GOODT,38,76723,France,7672.3
513,XMHMS,29,58832,,5883.200000000001
514,OLKUJ,25,45865,,4586.5
515,XPIEC,44,78446,France,7844.6
516,FSDVI,30,40215,,4021.5
517,VWSZQ,49,67941,,6794.1
518,NWFNG,45,41370,,4137.0
519,GYVAU,51,54170,France,5417.0
520,UPKVC,33,64384,,6438.400000000001
521,OTAVK,31,37591,,3759.1000000000004
522,GQTYX,30,34321,,3432.1000000000004
523,GDCCC,55,67065,,6706.5
524,OJQED,39,72408,,7240.8
525,GVIQS,23,51919,,5191.900000000001
526,JAKKM,34,69947,,6994.700000000001
527,EBYIS,26,76345,,7634.5
528,XFKIT,48,34255,,3425.5
529,LEHML,20,66056,France,6605.6
530,OFQVN,49,78514,,7851.400000000001
531,POCEN,47,72651,,7265.1
532,DJEUH,26,52808,,5280.8
533,CTUAY,41,68415,France,6841.5
534,RXAIY,38,45567,,4556.7
535,MMILT,37,56454,,5645.400000000001
536,WJKWN,32,42680,,4268.0
537,KZDNS,36,66885,,6688.5
538,JJKHB,55,45893,,4589.3
539,YGIQK,35,32862,,3286.2000000000003
540,EYEPS,52,32762,France,3276.2000000000003
541,ZWEQG,46,45364,,4536.400000000001
542,XSBRM,25,35056,,3505.6000000000004
543,ELKTO,20,74888,,7488.8
544,KILBQ,20,40928,France,4092.8
545,UXOUY,44,31335,France,3133.5
546,KFQZE,51,53221,France,5322.1
547,XNVXX,27,72231,,7223.1
548,VHWOP,60,36160,,3616.0
549,UXUJO,26,37340,,3734.0
550,EZTEA,23,73279,,7327.900000000001
551,LWAAX,45,46205,,4620.5
552,DFOSL,37,31365,,3136.5
553,JQIYK,40,46208,France,4620.8
554,GLOGJ,26,34394,,3439.4
555,LKSGQ,34,34677,,3467.7000000000003
556,TGVUE,49,53299,France,5329.900000000001
557,LZTVL,49,66986,,6698.6
558,UPSUL,35,61405,,6140.5
559,HPJAG,32,47213,,4721.3
560,JVIYX,53,57192,,5719.200000000001
561,DLFFZ,55,64722,,6472.200000000001
562,OGSDR,57,71520,France,7152.0
563,SPSBM,54,71921,,7192.1
564,TJZQI,53,43037,,4303.7
565,FZQEU,30,59432,,5943.200000000001
566,JVUPW,49,75472,,7547.200000000001
567,SQSBY,44,37098,,3709.8
568,ZEABW,40,38678,,3867.8
569,WDRFZ,47,50113,,5011.3
570,OCDXS,28,78772,France,7877.200000000001
571,HMCGI,40,61138,,6113.8
572,FZFQS,53,74884,,7488.400000000001
573,UAKZI,34,60584,,6058.400000000001
574,MWGFD,59,63464,France,6346.400000000001
575,VIGBL,20,68113,France,6811.3
576,YVLRZ,50,56560,,5656.0
577,OBJQE,36,76360,France,7636.0
578,RPHEN,45,36729,France,3672.9
579,RNROK,55,34217,,3421.7000000000003
580,ZDSKB,53,53011,,5301.1
581,ZBQYS,32,38633,,3863.3
582,YAWCY,22,53400,,5340.0
583,ZFQFD,45,37440,,3744.0
584,DJOFA,46,51579,,5157.900000000001
585,DMZGT,52,59785,,5978.5
586,KSFDU,25,54863,France,5486.3
587,EJOEF,55,39550,,3955.0
588,SWDWI,45,53554,,5355.400000000001
589,IDTVH,44,71414,,7141.400000000001
590,OIQHU,44,57095,,5709.5
591,IHVFF,56,63569,,6356.900000000001
592,ONNKE,50,38131,,3813.1000000000004
593,JPVJR,50,57088,,5708.8
594,HOWNC,27,69308,,6930.8
595,AATAY,51,73094,,7309.400000000001
596,GLDGL,60,45431,France,4543.1
597,XGQJD,50,54873,France,5487.3
598,ZGKCR,49,67044,,6704.400000000001
599,MUNME,41,30212,,3021.2000000000003
600,IBXNZ,38,51456,,5145.6
601,XROER,25,57268,,5726.8
602,EGDUK,51,43224,,4322.400000000001
603,XNBWC,34,65415,,6541.5
604,JSNDW,33,33011,France,3301.1000000000004
605,QVTXM,52,33606,,3360.6000000000004
606,CGURU,32,70652,France,7065.200000000001
607,RJSAW,25,36547,,3654.7000000000003
608,HIAMH,20,46300,,4630.0
609,TBIAA,32,40753,,4075.3
610,FNEKJ,57,35435,,3543.5
611,HVNKG,22,45411,,4541.1
612,GODRF,42,59332,,5933.200000000001
613,ZQMSS,60,31000,France,3100.0
614,DFOYS,34,58382,France,5838.200000000001
615,TJIDT,26,70877,,7087.700000000001
616,NJALR,41,64966,,6496.6
617,RTATG,28,63199,,6319.900000000001
618,SDTNU,27,32532,France,3253.2000000000003
619,ZLCQB,30,76622,,7662.200000000001
620,RTXNO,42,71750,,7175.0
621,ESSGZ,44,57922,,5792.200000000001
622,ISJJA,60,60385,,6038.5
623,KMABB,48,53006,,5300.6
624,MABXA,30,30657,France,3065.7000000000003
625,ZILYL,23,79757,France,7975.700000000001
626,COXWY,39,52025,France,5202.5
627,FIFKU,46,56810,France,5681.0
628,NXEDS,60,49563,,4956.3
629,JFKME,47,74398,France,7439.8
630,BZMWI,57,65651,,6565.1
631,TZLIC,46,41005,,4100.5
632,MKIDV,34,50420,,5042.0
633,CALOK,28,58483,,5848.3
634,WIKKH,48,61348,,6134.8
635,WORBG,52,70830,,7083.0
636,SRLKN,55,30908,,3090.8
637,SSAPR,21,52594,France,5259.400000000001
638,ISZZI,39,40617,,4061.7000000000003
639,QTQDR,22,37320,,3732.0
640,GHVXH,44,64564,France,6456.400000000001
641,GFVYL,47,75193,France,7519.3
642,ZBSTH,32,73600,,7360.0
643,CHPGM,32,52790,,5279.0
644,NPQST,52,66624,,6662.400000000001
645,FGHVD,50,63417,,6341.700000000001
646,HBPXQ,35,34408,,3440.8
647,HTNUB,25,76863,,7686.3
648,RQCHM,43,44522,,4452.2
649,JKNLY,39,38225,,3822.5
650,YCQBP,32,41182,,4118.2
651,PKMPS,20,34228,,3422.8
652,USIOX,55,65772,,6577.200000000001
653,NOVPA,49,54388,France,5438.8
654,UVARX,54,34809,,3480.9
655,DJKPY,40,75496,,7549.6
656,ISVBW,58,57592,,5759.200000000001
657,FAMSH,48,72062,,7206.200000000001
658,HICKS,45,77072,,7707.200000000001
659,ZGQPQ,45,71988,,7198.8
660,QIBEO,54,31663,,3166.3
661,MYTKD,57,65557,,6555.700000000001
662,YJQDV,54,51593,,5159.3
663,FXWGW,28,63402,,6340.200000000001
664,FAZJY,58,73810,,7381.0
665,HMJZK,50,59483,France,5948.3
666,QXILG,29,40138,,4013.8
667,EVUNF,46,36602,,3660.2000000000003
668,VNXGR,42,38051,France,3805.1000000000004
669,KGMVW,58,66680,,6668.0
670,MBJVK,46,71583,,7158.3
671,HMGXD,47,73682,,7368.200000000001
672,CYESL,47,36206,,3620.6000000000004
673,GWHYE,58,35041,,3504.1000000000004
674,OGYKW,40,39662,,3966.2000000000003
675,TJRTR,32,45290,,4529.0
676,OXJEE,52,69348,France,6934.8
677,GKPNQ,50,32917,France,3291.7000000000003
678,MCNMA,45,73267,,7326.700000000001
679,ROXIA,59,61439,,6143.900000000001
680,LNUWG,29,43946,,4394.6
681,ZPPDR,50,74018,,7401.8
682,GCOKE,48,66118,,6611.8
